id_ent_fed,ent_fed,anio,subsector,categoria_generador,categoria_residuo,type_residuo,generacion_estimada_ton_anio
2,baja california,2019,petrolifero,microgenerador,residuos solidos,"estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.158
2,baja california,2019,petrolifero,microgenerador,residuos solidos,lámpara fluorescentes,0.002
2,baja california,2019,petrolifero,pequeno generador,aceites gastados,hidraulicos,0.0
2,baja california,2019,petrolifero,pequeno generador,aceites gastados,lubricantes,0.0
2,baja california,2019,petrolifero,pequeno generador,"baterias, celdas y pilas",pilas alcalinas,0.0
2,baja california,2019,petrolifero,pequeno generador,"baterias, celdas y pilas",pilas o baterias de niquel - cadmio,0.0
2,baja california,2019,petrolifero,pequeno generador,"gasolina, diesel y naftas gastados o sucios provenientes de estaciónes de servicio y talleres automotrices","gasolina, diesel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices",4.258
2,baja california,2019,petrolifero,pequeno generador,liquidos de proceso,corrosivos,0.0
2,baja california,2019,petrolifero,pequeno generador,lodos,lodos aceitosos,0.0
2,baja california,2019,petrolifero,pequeno generador,lodos,lodos procedentes de trampas de grasas e hidrocarburos,0.0
2,baja california,2019,petrolifero,pequeno generador,residuos solidos,"estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",4.112
2,baja california,2019,petrolifero,pequeno generador,residuos solidos,filtro de aire o de aceite contaminados,0.0
2,baja california,2019,petrolifero,pequeno generador,residuos solidos,lámpara fluorescentes,0.0
2,baja california,2019,petrolifero,pequeno generador,solventes,residuos de solventes,0.0
2,baja california,2020,petrolero,pequeno generador,aceites gastados,aceites gastados hidráulicos,0.7
2,baja california,2020,petrolero,pequeno generador,aceites gastados,aceites gastados lubricantes,0.35
2,baja california,2020,petrolero,pequeno generador,aceites gastados,aceites gastados otros,0.05
2,baja california,2020,petrolero,pequeno generador,No especificado,baterias alcalinas,0.05
2,baja california,2020,petrolero,pequeno generador,No especificado,"tierra contaminada (impregnada con pintura, aceite, combustible y/o solventes)",2.0
2,baja california,2020,petrolero,pequeno generador,No especificado,acumuladores de vehículos con contenido de plomo,0.1
2,baja california,2020,petrolero,pequeno generador,No especificado,aceites gastados solubles aguas aceitosas derivadas de la operación y mantenimiento de las instalaciones de la terminal,0.05
2,baja california,2020,petrolero,pequeno generador,sólidos,sólidos de mantenimiento automotriz,0.05
2,baja california,2020,petrolero,pequeno generador,sólidos,No especificado,0.5
2,baja california,2020,petrolero,pequeno generador,sólidos,No especificado,0.14
2,baja california,2020,petrolero,pequeno generador,sólidos,No especificado,0.05
2,baja california,2020,petrolero,pequeno generador,sólidos,No especificado,0.07
2,baja california,2020,petrolifero,microgenerador,aceites lubricantes,aceites gastados lubricantes,0.019
2,baja california,2020,petrolifero,microgenerador,líquidos de proceso,aguas aceitosas,0.327
2,baja california,2020,petrolifero,microgenerador,"baterias, pilas y balastras","baterias, pilas y balastras",0.001
2,baja california,2020,petrolifero,microgenerador,"gasollina, diésel y naftas gastados","gasollina, diésel y naftas gastados",0.88
2,baja california,2020,petrolifero,microgenerador,lodos,lodos aceitosos,1.37
2,baja california,2020,petrolifero,microgenerador,residuos sólidos,"estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",2.176
2,baja california,2020,petrolifero,pequeno generador,aceites lubricantes,aceites gastados lubricantes,10162.0
2,baja california,2020,petrolifero,pequeno generador,líquidos de proceso,aguas aceitosas,6.36
2,baja california,2020,petrolifero,pequeno generador,"baterias, pilas y balastras","baterias, pilas y balastras",0.02
2,baja california,2020,petrolifero,pequeno generador,"gasollina, diésel y naftas gastados","gasollina, diésel y naftas gastados",17758.0
2,baja california,2020,petrolifero,pequeno generador,lámparas fluorescentes y de vapor de mercurio,lámparas fluorescentes y de vapor de mercurio,0.01
2,baja california,2020,petrolifero,pequeno generador,lodos,lodos aceitosos,3283886.0
2,baja california,2020,petrolifero,pequeno generador,residuos sólidos,"estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",4763971.0
2,baja california,2021,petrolero,pequeno generador,aceites gastados,hidraulicos,0.7
2,baja california,2021,petrolero,pequeno generador,aceites gastados,lubricantes,0.35
2,baja california,2021,petrolero,pequeno generador,aceites gastados,otros aceites,0.1
2,baja california,2021,petrolero,pequeno generador,"baterias, celdas y pilas",acumuladores,0.1
2,baja california,2021,petrolero,pequeno generador,"baterias, celdas y pilas",pilas alcalinas,0.05
2,baja california,2021,petrolero,pequeno generador,residuos solidos,"de mantenimiento automotríz, mantenimiento a maquinaria o equipos",0.05
2,baja california,2021,petrolero,pequeno generador,residuos solidos,No especificado,0.35
2,baja california,2021,petrolero,pequeno generador,residuos solidos,No especificado,0.55
2,baja california,2021,petrolero,pequeno generador,residuos solidos,"tierra, arena, grava, acerrín impregnados con aceites, grasas o hidrocarburos",2.0
2,baja california,2021,petrolifero,microgenerador,aceites gastados,lubricantes,0.02
2,baja california,2021,petrolifero,microgenerador,"baterias, celdas y pilas","baterias, pilas y balastras",0.0
2,baja california,2021,petrolifero,microgenerador,"gasolina, diésel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices","gasolina, diesel y naftas gastados o sucios",0.88
2,baja california,2021,petrolifero,microgenerador,No especificado,"agua oleosa, agua contaminada",0.33
2,baja california,2021,petrolifero,microgenerador,residuos solidos,"estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",2.18
2,baja california,2021,petrolifero,microgenerador,lodos,lodos aceitosos,1.37
2,baja california,2021,petrolifero,pequeno generador,aceites gastados,lubricantes,10.16
2,baja california,2021,petrolifero,pequeno generador,"baterias, celdas y pilas","baterias, pilas y balastras",0.02
2,baja california,2021,petrolifero,pequeno generador,"gasolina, diésel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices","gasolina, diesel y naftas gastados o sucios",17.76
2,baja california,2021,petrolifero,pequeno generador,No especificado,"agua oleosa, agua contaminada",6.36
2,baja california,2021,petrolifero,pequeno generador,residuos solidos,"estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",47.64
2,baja california,2021,petrolifero,pequeno generador,residuos solidos,"lámparas fluorescentes, lámparas de vapor de mercurio",0.01
2,baja california,2021,petrolifero,pequeno generador,lodos,lodos aceitosos,32.84
2,baja california,2022,petrolífero,microgenerador,lodos,lodos aceitosos,0.11
2,baja california,2022,petrolífero,microgenerador,residuos sólidos,"estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.62
2,baja california,2022,petrolífero,pequeño generador,aceites gastados,lubricantes,0.59
2,baja california,2022,petrolífero,pequeño generador,lodos,lodos aceitosos,1.1
2,baja california,2022,petrolífero,pequeño generador,residuos sólidos,"estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.97
2,baja california,2022,petrolífero,pequeño generador,agua contaminada,"agua contaminada con hidrocarburos, combustibles, aceite o grasa",0.4
2,baja california,2022,petrolífero,pequeño generador,lodos,lodos aceitosos,4.1
2,baja california,2022,petrolífero,pequeño generador,lodos,otros lodos,0.4
2,baja california,2022,petrolífero,pequeño generador,No especificado,No especificado,0.8
2,baja california,2022,petrolífero,pequeño generador,No especificado,No especificado,1.5
